0,0,0,0,
1,0,1,0,
2,0,2,0,
3,0,3,0,
4,0,4,0,
5,0,5,0,
6,0,6,0,
7,0,0,1,
8,0,1,1,
9,0,2,1,
10,0,3,1,
11,0,4,1,
12,0,5,1,
13,0,6,1,
14,0,0,2,
15,0,1,2,
16,0,2,2,
17,0,3,2,
18,0,4,2,
19,0,5,2,
20,0,6,2,
21,0,0,3,
22,0,1,3,
23,0,2,3,
24,0,3,3,
25,0,4,3,
26,0,5,3,
27,0,6,3,
28,1,0,0,
29,1,1,0,
30,1,2,0,
31,1,3,0,
32,1,4,0,
33,1,5,0,
34,1,6,0,
35,1,0,1,
36,1,1,1,
37,1,2,1,
38,1,3,1,
39,1,4,1,
40,1,5,1,
41,1,6,1,
42,1,0,2,
43,1,1,2,
44,1,2,2,
45,1,3,2,
46,1,4,2,
47,1,5,2,
48,1,6,2,
49,1,0,3,
50,1,1,3,
51,1,2,3,
52,1,3,3,
53,1,4,3,
54,1,5,3,
55,1,6,3,
56,2,0,0,
57,2,1,0,
58,2,2,0,
59,2,3,0,
60,2,4,0,
61,2,5,0,
62,2,6,0,
63,2,0,1,
64,2,1,1,
65,2,2,1,
66,2,3,1,
67,2,4,1,
68,2,5,1,
69,2,6,1,
70,2,0,2,
71,2,1,2,
72,2,2,2,
73,2,3,2,
74,2,4,2,
75,2,5,2,
76,2,6,2,
77,2,0,3,
78,2,1,3,
79,2,2,3,
80,2,3,3,
81,2,4,3,
82,2,5,3,
83,2,6,3,
